[ 2025-08-25 08:20:34,289 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-25 08:20:36,810 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-25 08:20:36,810 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-25 08:20:36,811 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-25 08:20:36,934 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-25 08:20:36,934 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-25 08:20:36,971 ] 26 root - INFO - Initiate the data Validation
[ 2025-08-25 08:20:37,125 ] 32 root - INFO - Required number of columns:2
[ 2025-08-25 08:20:37,126 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-25 08:20:37,126 ] 32 root - INFO - Required number of columns:2
[ 2025-08-25 08:20:37,126 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-25 08:20:37,436 ] 28 root - INFO - data Validation Completed
[ 2025-08-25 08:20:37,437 ] 31 root - INFO - data Transformation started
[ 2025-08-25 08:20:37,437 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-25 08:20:37,437 ] 65 root - INFO - Starting data transformation
[ 2025-08-25 08:20:37,485 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-25 08:20:37,486 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-25 08:20:37,506 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-25 08:20:37,512 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-25 08:20:37,512 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-25 08:20:37,516 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-25 08:20:37,519 ] 35 root - INFO - data Transformation completed
[ 2025-08-25 08:20:37,519 ] 37 root - INFO - Model Training sstared
