[ 2025-08-22 21:04:12,763 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-22 21:04:14,925 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-22 21:04:14,926 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-22 21:04:14,926 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-22 21:04:15,046 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-22 21:04:15,047 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-22 21:04:15,073 ] 26 root - INFO - Initiate the data Validation
[ 2025-08-22 21:04:15,175 ] 32 root - INFO - Required number of columns:2
[ 2025-08-22 21:04:15,175 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-22 21:04:15,175 ] 32 root - INFO - Required number of columns:2
[ 2025-08-22 21:04:15,175 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-22 21:04:15,406 ] 28 root - INFO - data Validation Completed
[ 2025-08-22 21:04:15,406 ] 31 root - INFO - data Transformation started
[ 2025-08-22 21:04:15,406 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-22 21:04:15,407 ] 65 root - INFO - Starting data transformation
[ 2025-08-22 21:04:15,449 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-22 21:04:15,449 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-22 21:04:15,469 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-22 21:04:15,473 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-22 21:04:15,473 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-22 21:04:15,476 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-22 21:04:15,478 ] 35 root - INFO - data Transformation completed
[ 2025-08-22 21:04:15,479 ] 37 root - INFO - Model Training sstared
