[ 2025-08-21 15:40:50,571 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-21 15:40:52,546 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-21 15:40:52,546 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-21 15:40:52,547 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-21 15:40:52,620 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-21 15:40:52,621 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-21 15:40:52,631 ] 26 root - INFO - Initiate the data Validation
[ 2025-08-21 15:40:52,721 ] 32 root - INFO - Required number of columns:2
[ 2025-08-21 15:40:52,721 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-21 15:40:52,721 ] 32 root - INFO - Required number of columns:2
[ 2025-08-21 15:40:52,721 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-21 15:40:52,892 ] 28 root - INFO - data Validation Completed
[ 2025-08-21 15:40:52,892 ] 31 root - INFO - data Transformation started
[ 2025-08-21 15:40:52,893 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-21 15:40:52,893 ] 65 root - INFO - Starting data transformation
[ 2025-08-21 15:40:52,917 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-21 15:40:52,917 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-21 15:40:52,930 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-21 15:40:52,933 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-21 15:40:52,933 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-21 15:40:52,935 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-21 15:40:52,936 ] 35 root - INFO - data Transformation completed
