[ 2025-08-21 12:59:43,978 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-21 12:59:45,656 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-21 12:59:45,656 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-21 12:59:45,657 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-21 12:59:45,733 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-21 12:59:45,734 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-21 12:59:45,772 ] 26 root - INFO - Initiate the data Validation
[ 2025-08-21 12:59:45,880 ] 32 root - INFO - Required number of columns:2
[ 2025-08-21 12:59:45,880 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-21 12:59:45,880 ] 32 root - INFO - Required number of columns:2
[ 2025-08-21 12:59:45,880 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-21 12:59:46,188 ] 28 root - INFO - data Validation Completed
