[ 2025-08-22 19:48:08,530 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-22 19:48:24,330 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-22 19:48:24,330 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-22 19:48:24,331 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-22 19:48:24,437 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-22 19:48:24,438 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-22 19:48:24,475 ] 26 root - INFO - Initiate the data Validation
[ 2025-08-22 19:48:24,593 ] 32 root - INFO - Required number of columns:2
[ 2025-08-22 19:48:24,593 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-22 19:48:24,594 ] 32 root - INFO - Required number of columns:2
[ 2025-08-22 19:48:24,594 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-22 19:48:24,899 ] 28 root - INFO - data Validation Completed
[ 2025-08-22 19:48:24,900 ] 31 root - INFO - data Transformation started
[ 2025-08-22 19:48:24,900 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-22 19:48:24,900 ] 65 root - INFO - Starting data transformation
[ 2025-08-22 19:48:24,993 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-22 19:48:24,994 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-22 19:48:25,025 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-22 19:48:25,031 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-22 19:48:25,032 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-22 19:48:25,036 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-22 19:48:25,038 ] 35 root - INFO - data Transformation completed
[ 2025-08-22 19:48:25,038 ] 37 root - INFO - Model Training sstared
